职位名称,公司名称,经验要求,学历,工作地点,最低薪水,最高薪水,职位描述,公司类型,最低员工人数,最高员工人数,主营业务
外贸电子商务速卖通助理,广州富泽网络有限公司,无工作经验,大专,江门,3000,4500,"岗位职责：1、 处理客户留言及查询, 提供售前售后咨询服务、订单追踪信息；2、 保持店铺的好评率和良好的信用度；3、 协助销售刊登产品岗位要求：1、 电子商务或英语类相关专业，大专以上学历；2、 有外贸电商工作经验者优先，优秀的应届毕业生亦可考虑3、 英语四级以上水平，具有良好的英语读写能力；4、 熟悉计算机使用，熟练掌握office办公软件的操作；5、 工作认真负责，做事细心踏实，积极主动，沟通能力强，语言表达能力佳，能灵活解答客户的问题",民营公司,50,150,互联网/电子商务
电子商务运营续约平均月薪7000,中国大地财产保险股份有限公司东莞中心支公司,无工作经验,中专,东莞,5000,12000,就业请联系：高老师18807663875此岗位可解决住宿，解决你的后顾之忧；岗位解读：1、我们销售的产品是车险。车险是一种保险，但又和一般的保险不一样！2、你有车就必须、每年都要买车险，你买了车就一定会着急的去买车险；3、销售这样的产品，比其他即使不是保险的产品都要好卖。4、况且这个国家硬性要求购买的，没有车险汽车是不能上路的哟5、合作18家保险公司任你出，公司给的资源都是去年买在我司的都是续保客户想不赚钱都难；工作职责：1、向公司车险到期的客户推荐车险续保服务及车险报价，办公室上班；2、公司提供车险即将到期必须要购买的客户；3、让客户前往客户所在地的分公司办理续保，不用出门跑业务；薪酬福利：1、无责底薪2500-4000，加绩效工资：提成5-20个点/激励/奖金……前期4000左右，两三个月熟悉后可达6000以上，每月额外有现金购物卡的奖励带薪年假、法定节假日、社保五险/雇主责任险、节日礼品、婚假、生日礼品等；发展空间：1、销售序列：一级客户经理——九级客户经理2、管理序列：工作三个月以上可申请报“潜团“晋升为团队经理、区域经理；3、运管序列：熟悉核心业务后可申请其他岗位：审核、质检、招聘、培训、财务、IT等；4、全国就业：工作3-6个月可申请到广东地区其它分公司任职；5、培训支持：全方位的培训，包括岗前、转岗及晋升；另有大地保险网络学院；工作时间：1、上午9:00-12:00，下午13:30-18:30；2、做五休二，法定节假日正常休息你的顾虑：1、没有接触过这行业，怕做不好。公司新进员工，90%都没做过。公司有专业培训，愿意等待你的成长。2、压力太大，赚不到钱怎么办？国有企业，行业排名前3，培训老师和你的主管教你每一步，2000-50000的无责任底薪，给你提供基本的生活保障，无上限的提成比例让你带给整个家族荣誉。3、客户资源要我们自己开发吗？不用！公司会给员工提供车险即将到期，马上要续保的客户。因此岗位应聘求职者较多，如想应聘可直接电话联系；联系人：高老师18807663875面试时间周一到周五 上午9-12点下午1.30-6.30点！中国大地车险地址：东莞市南城区莞太路336号，袁屋边公交站旁，靠近南城车站；,国企,10000,10000,"保险,互联网/电子商务"
网络销售电话销售电子商务销售,陕西秦川热工技术有限公司,1年经验,大专,西安-灞桥区,2000,3000,1、40岁以下，大专以上学历，电子商务、国际贸易、市场营销等相关专业。2、熟悉网络推广业务流程，能够熟练操作电脑。3、机电一体化、热工自动化等相关专业优先。4、熟练使用office软件，熟练使用CAD制图软件和ps软件优先。5、有较强的语言沟通能力和逻辑思考能力。6、认同企业文化，能够遵守公司各项制度规定。7、能够接受单休（每周休一天）。薪资待遇：无责任底薪，提成比例3-4%，另有话补、全勤奖、提成、节日福利、年终奖等。联系方式：187 4035 4756 吕,民营公司,50,50,"仪器仪表/工业自动化,机械/设备/重工"
电子商务运营助理,深圳市美锐鑫科技有限公司,无工作经验,大专,深圳-龙岗区,3000,4500,工作职责：1：负责阿里巴巴平台诚信通店铺日常运作，客户维护。2：跟单。要求：1：女；2：大专学历，本科优先。专业不限，电子商务专业、外语专业优先。3：积极主动、作风干练。4：电脑办公软件熟练。5：英语熟练优先。有证书优先。6：优秀应届生也可。有同职位经验优先。,民营公司,50,50,"印刷/包装/造纸,原材料和加工"
电子商务专员/开发/外贸,上海竹亭贸易有限公司,无工作经验,大专,上海-普陀区,50000,100000,"岗位职责：1、跨国电子商务，负责管理好所负责区域的销售，提高订单量；2、寻找国外的平台火爆热销或有潜力商品，开发上架,负责公司网站产品；3、负责产品描叙的翻译编写与修正及编写产品FAQ文档；4、基于市场动态和竞争情况,上架,优化,淘汰公司不好的产品；5、针对负责的品类和产品，进行生命周期的管理；6、定期收集、分析市场及竞争对手状况，进行数据分析。不断挑战营销的品类和方向以及方法，为业绩目标负责；7、公司处于高速发展阶段，晋升空间大；8、协助开发主管的日常工作，对内对外沟通表达能力强，有责任感能与同事融洽相处；任职要求：1、勤奋细心，有很强的责任心、进取心，有很好的团队协作精神；2、有独立思考的能力和较强的学习接收能力；3、大专以上学历（有资格证书者优先），有良好的外语阅读及书面写作能力；4、熟悉电子商务，对电子商务的销售办法有良好认知。5、英语四级及四级以上水平，也欢迎优秀的国贸、电商、或英语专业的优秀毕业生； 6、有跨境电商产品开发或者跨境电商运营经验的，优先考虑录取",合资,1000,5000,"贸易/进出口,互联网/电子商务"
电商经理/电子商务主管,上海优生婴儿用品有限公司,3-4年经验,中专,上海,10000,20000,工作职责：1、负责运营、管理公司现有官方网站及淘宝商城旗舰店的日常所有工作，及相关销售月报统计。 2、定期策划相关网络促销活动方案和推广方案，并协同各部门有效执行，以及后期评估反馈。 3、制定年度/季度/月度网络营销工作计划，主动挖掘市场需求，设计完善网络产品和服务。 4、制订电子商务部门的各项工作流程及规范，以提高工作效率，完善部门系统化管理。 5、负责部门团队建设、部门人员的管理、考核与培训。任职要求：1、大专以上学历，电子商务、市场营销等相关专业优先，一年以电子商务营销工作经验； 2、熟悉淘宝网等电子商务平台的运营管理，具有较强的市场开拓能力，能够把握品牌建设及产品市场定位，熟悉母婴行业者优先。 3、有丰富的销售及市场推广经验及有ERP系统操作经验者优先。 4、有强烈的责任心，事业心与团队精神，执行能力、创新能力和承压能力。,合资,500,1000,"快速消费品(食品、饮料、化妆品),批发/零售"
急聘电子商务运营,厦门和谦行网络科技有限公司,无工作经验,大专,厦门,4000,6000,岗位职责：1、协助上级电商平台的管理及运营，保证电商平台的正常运作；2、店铺日常的活动策划、品牌推广及网络营销事宜，平台的各种官方推广活动跟进及执行；3、通过互联网对产品进行运营推广，如直通车、聚划算、钻展、SEO等推广手段，提升店铺浏览量和转化率，并定期针对推广效果进行跟踪、评估和统计分析，及时提出营销改进方案；4、产品日常各项数据分析与总结，产品重点时期的针对性数据分析与总结；5、根据公司产品及运营指标，制定运营战略发展和业务计划，完成销售指标；6、上级安排的其他工作。任职要求：1、大专及以上学历，电子商务、营销相关专业优先考虑；2、熟练使用电脑及office办公软件；3、熟知品牌规划与推广策略技巧，能很好的和用户对话沟通；4、熟悉电子商务平台运作流程与规则。,民营公司,50,50,"计算机服务(系统、数据服务、维修),互联网/电子商务"
外贸客服（电子商务，互联网，外贸，亚马逊，eBay）(职位编号：PM-05-20160830),深圳市纽泰睿科技发展有限公司,无工作经验,大专,深圳,5000,8000,"1、eBay店铺邮件的回复和跟进（售前、售中、售后）；2、ebay客户维护工作，及时耐心处理中差评，回复客人疑问及跟踪订单情况3、ebay平台数据统计及整理，向公司汇报产品销售和客户反馈情况；4、了解eBay政策与制度，维护账号的DSR评分和信用评价，提升账号综合表现5、制定产品FAQ，推广新的产品6、分析客户需求，挖掘潜在客户7、协助ebay销售管理店铺，提高销售额任职要求：1、英语六级或以上，能顺利进行书面沟通，接受优秀应届毕业生 。2、大专及以上学历。3、懂得客户心理，语言表达能力强，擅于沟通4、工作耐心细致，头脑清晰，有良好的客户服务意识5、综合素质高，品行优异，责任心将强，有团队合作精神6、有外贸客服经验者优先考虑福利待遇：1、薪酬：公司为员工提供业内有竞争力的薪酬待遇；2、年终奖：年底双薪，入职不满一年的员工按比例发放；3、工作时间：大小周，7.5小时／天8:30-12:00,13:30-17:30；4、员工培训：提供入职培训，同时也会不定期为员工组织相关培训；5、社会保险：入职即购买五险一金；6、假期规定：依法享有国家规定的各种法定假日，带薪年假5-10天/年、婚假、产假、病假、丧假等（转正后即可享有）；7、节日福利：公司在端午节、中秋节等重大节日为员工发放节日慰问品；8、员工下班前茶点：周一周三周五提供小零食，周二周四准备水果；9、员工活动：公司每年举行一次集体年会活动；周年庆活动；公司或部门不定期组织其他活动和聚餐（公司内部有骑行队、读书会）等丰富员工的业余生活。",民营公司,50,150,"互联网/电子商务,贸易/进出口"
电子商务网站、小程序销售,湖北思洋互动信息技术有限公司,1年经验,高中,武汉-江汉区,6000,8000,【行业前景】：2017年，微信正式推出小程序，一个席卷各行业的千亿级风口喷薄而出，一场重塑未来三年移动互联网格局的大戏正在拉开序幕！小程序是一种不需要下载安装即可使用的应用，它实现了应用 “触手可及” 的梦想，用户扫一扫或者搜一下即可打开应用，应用将无处不在，随时可用，但又无需安装卸载。1、经过公司系统的培训，能够熟悉企业业务流程，识别目标客户潜在需求；2、渠道开发、关系维护、维护客户档案，对客户需求进行定期追踪；3、有良好的沟通应变能力和学习能力，服务意识良好；4、熟练操作office办公软件；5、熟悉互联网，对域名空间等网络基础产品及电子商务有一定的了解及认识者优先；6、性格开朗、大方，有高度的责任心、较强的执行力和团队协作精神。7、有1-2年互联网相关工作经验任职要求：1、20至35周岁，专科及以上学历，市场营销、通信、信息、互联网、法律等相关专业2、有互联网、计算机软件等相关销售工作经验者优先（应届毕业生优秀者亦可）3、积极主动的心态，愿意接受挑战，能承受较大的工作压力；4、有较强的学习能力、语言表达能力5、对互联网行业感兴趣，并致力在此行业中长期发展。6、欢迎优秀应届毕业生投递。福利待遇：带薪年假+带底双薪+全勤奖+每天每周每月销冠奖金+生日福利+员工旅游薪资结构：底薪+高提成（20%-30%）+高额奖金（400-6000）+带薪年假  （月入4000-8000） 优异者月薪过万不是梦!  !  !联系电话：027-85667677/18186223426 周小姐工作地址：武汉市解放大道688号武汉广场公寓楼II座2806乘车路线：乘坐2号线地铁至中山公园A出口直走,民营公司,50,150,"互联网/电子商务,计算机软件"
青牛电子商务新媒体编辑,浙江《青年时报》社,无工作经验,本科,杭州-下城区,4500,6000,"全职微信编辑岗位描述：1、负责部门移动互联网自媒体平台（微信、微博、手机终端为主）的日常运营及推广工作；2、负责能够独立运营微信公众号，为粉丝策划与提供优质、有高度传播性的内容；3、负责与相关业务口的联系,策划并执行微信营销线日常活动及跟踪维护，根据项目发送各种微信内容；4、负责增加粉丝数，提高关注度，并及时与粉丝互动；5、紧跟微信发展趋势，关注标杆性公众号，积极探索微信运营模式；6、充分了解用户需求，收集用户反馈，分析用户行为及需求。岗位要求：1、大专或以上，新闻学、广告学、中文等相关专业；2、具有一年微信编辑制作经验，熟练应用H5及其他图片设计软件；3、具备较强的文字编辑能力，思维敏捷，接受新鲜事物快，较强的学习能力及团队协作能力；4、喜欢绿色、健康食品及农产品，对农业有情怀；了解农产品公众号的采编模式实习微信编辑工作内容：1、协助运营微信公众号，为粉丝策划与提供优质、有高度传播性的内容；2、负责增加粉丝数，提高关注度，并及时与粉丝互动；3、充分了解用户需求，收集用户反馈，分析用户行为及需求。任职要求：1、良好的表达能力，善于沟通，应变能力强；2、喜欢绿色、健康食品及农产品，对农业有情怀；了解农产品公众号的采编模式；3、具有团队协作精神，有较强的策划能力、沟通能力、品质端正。",事业单位,500,1000,"文字媒体/出版,广告"
电子商务专员(职位编号：002),成都市天使到家家政有限责任公司,1年经验,大专,成都,3500,5000,岗位职责：1、负责电子商务板块的相关工作；  2、网站营运，接受客户订单，财务对接；  3、维护客户；  4、协助主管完善部门规章制度和操作流程与规范，做好销售的后台支持；  5、相关的销售协议、合同等存档管理。任职要求：1、大专及以上学历，电子商务类专业优先；  2、1年以上商务相关领域工作经验；  3、有商务推广、策划方面的经验；  4、英语及计算机运用熟练；  5、良好的语言表达及较强的沟通能力，工作认真细致，积极进取，善于学习与创新。工作时间：09:00--18:00,民营公司,150,500,"互联网/电子商务,生活服务"
室内网络销售电子商务专员（非金融）,武汉伊佳茗媛网络科技有限公司,无工作经验,大专,武汉-洪山区,6000,8000,武汉伊佳茗媛网络科技有限公司是广州伊的家在武汉成立的一家分公司，公司环境优雅，气氛活跃，朝气蓬勃，为年轻人提供一个愉悦，自主的工作氛围。伊的家始建于2009年4月，目前全国1400多家营业部，员工近15000人。公司产品主要有：美容护肤用品——妍诗美、营养美容食品——妍膳美、时尚服装品牌——伊霓裳。公司有成熟的线上购物商城-伊的家商城 www.yidejia.com，并在淘宝、京东、1号店等拥有旗舰店，全国拥有9大仓储配送中心。公司旗下其他品类产品正在上线，跨境电商团队也构建完成，目前在电商行业拥有着广阔的发展前景！欢迎对电商有一定了解，对互联网营销方式有一定熟知的年轻人加入。公司有成熟的线上商城 --- 伊的家商城【www.yidejia.com】公司介绍短片--【伊的家-我们是电商人】 http://my.tv.sohu.com/us/175302148/75274143.shtml岗位职责：1.负责与客户进行联络和沟通，找到客户需求，提供咨询服务，维护客户关系2.针对客户需求，为客户配置相应产品，3.在团队主管与客户经理的带领下，完成公司规定的业绩4.完成领导交办的其他工作任职资格1.男女不限，电子商务专业，市场营销专业优先；2.具备学习能力，良好的沟通表达能力；3.具备一定的市场开拓能力，敬业自信，有上进心，团队合作精神强；4.具备一定的抗压能力，心态乐观，积极向上5.有销售经验者优先。培训 ：公司内部有专业的培训，帮助所有员工的快速的进步和成长。环境 ：高档写字楼内，无需外跑出差。配置专属电脑，办公室都是年轻人，富有朝气作息 ：八小时工作制，每周固定休息周天。享受国定节假日带薪休假。 国庆7天假期. 五一.端午.中秋等均按三天假期待遇 ：阶梯底薪 2000~3000 + 高提成 + 奖金享受公平的晋升机会和调薪机会基础员工阶段 ：3000—5000元； 初级团队阶段：5000—10000元； 团队管理阶段：10000+1. 每年两次大型户外拓展旅游培训2. 优秀员工可参加每月总部的精英提高培训3. 有能力有想法的员工有充足的晋升空间，大家可以充分展示自己的能力。4. 这是一个年轻人创业的平台，公司鼓励创业并提供大力扶持！.联系方式：18571651243（微信同号）,民营公司,50,150,"互联网/电子商务,快速消费品(食品、饮料、化妆品)"
阿里巴巴电子商务专员(职位编号：1),泰州迅博信息科技有限公司,无工作经验,大专,泰州,2000,3000,不能及时查看简历，请电话沟通，或者信息。咨询热线：*****微信： *****QQ：*****【岗位简介】岗位名称：阿里巴巴渠道商务实习生岗位性质：顾问式销售主要职责：帮助泰州地区的企业客户定制合适的电商发展方案，借助阿里巴巴平台，实现企业电商化！薪资：底薪+提成+奖金+各种福利【底薪】首先说明，我们的实习生的收入和正式员工是一样的。公司愿意给有理想的你实习机会，更愿意这样的你可以长期与我们一起奋斗下去！（1）我们提供无责任底薪1700元/月，然而作为一名职场中人，希望你能明白岗位的责任。这个岗位是销售，最基本的职责就是有业绩。所谓无责任，就是一个月一单都不开。所以如果你跟我纠结说我们的底薪太低，我只能认为，孩子，你就没准备出单吧？还是对自己太没有自信？ 那我只能说，这个岗位，你真的不合适；（2）我们的底薪是浮动底薪，从1700到2300不等；具体能拿多少，凭你的月度业绩决定。【提成】这个计算有一点点复杂，会涉及到不同套餐服务的不同业绩计算方式。面试或入职会跟你详细介绍的啦。满足下你的好奇心，大概介绍下子，我们的提成点从25%到40%不等，业绩越高，提成点也就越高。【奖金】一个互联网行业的销售岗位一般来讲各种奖励机会是非常多的。特别是阿里相关。可能你也有听说，阿里一直都崇尚骚文化的啦。所以，从新人奖到开单奖，从月度冠亚季到年终大奖，各种吸引，各种任性。去年的年终大奖，就是欧洲10国游哦。机会多多，等待有能力有实力，有拼劲的你来摘取哦~【福利】一般什么节日啊，生日啊，周年啊，该有的都会有，讲点任性的吧。（1）车房贷！虽然，你很有可能是一位90后，虽然我们的父母生活可能很殷实，虽然可能他们已经给我们未来的生活准备好了车与房。但是我们明白，我们都有一颗证明自己的心。住着自己挣钱买的房，开着自己挣钱买的车的骄傲，是啃老永远不能体会的。为了助力大家的这个梦想，我们为2年以上优秀员工提供无息的购车及购房的资金支持，从1万到8万不等的公司无利息的借款，助力你的梦想实现！（2）孝顺金：工作太忙？没时间孝敬父母？泰州迅博特推孝顺金制度，帮助员工孝顺父母！心动么?那就猛戳“立即申请”投递简历吧！,民营公司,50,150,互联网/电子商务
电子商务专员,上海怀霖贸易有限公司,无工作经验,大专,上海-闵行区,4000,6000,热爱电子商务工作，对电子类产品有浓厚的兴趣，通过对公司产品的了解，负责平台数据整理与统计。任职资格：1、中专及以上学历（优秀应届毕业生也可）2、熟练使用办公软件3、工作细致、责任心强4、有电商平台工作经验者优先,民营公司,50,150,"互联网/电子商务,贸易/进出口"
