职位名称,公司名称,经验要求,学历,工作地点,最低薪水,最高薪水,职位描述,公司类型,最低员工人数,最高员工人数,主营业务
IT管理员/ERP维护,杭州欧卡兰时装有限公司,3-4年经验,大专,杭州-江干区,6000,10000,"1、负责网络及其设备的维护、管理、故障排除等日常工作，确保公司网络日常的正常运作2、负责公司办公环境的软硬件和桌面系统的日常维护3、维护和监控公司局域网、广域网，保证其正常运行，确保局域网、广域网在工作期间内安全稳定运行4、安装和维护公司计算机、服务系统软件和应用软件，同时为其他部门提供软硬件技术支持5、解决排除各种软硬件故障，做好记录，定期制作系统运行报告6、维护数据中心，对系统数据进行备份7、直营，加盟客户的上线实施，能独立完成调研，沟通，出方案，培训，上线8、根据总公司和公司的相关政策，参与公司相关部门进行信息系统的实施和推广工作；9、直营，加盟，省代客户的促销活动制作及跟进，并不断培训相关人员可以独立设置10、配合公司行政部与销售部相关培训工作和需求, 定期收集各业务部门的需求反馈，组织有针对性地计算机操作技能培训11、定期对现有对接部门ERP使用方案进行系统软件更新与升级12、直营店铺的促销活动设置，协助直营部，商品部，财务部13、进行分销零售帐套的管理，包括档案的变更及权限的分配；14、及时解决终端用户分销系统使用过程中的出现的问题，保证各终端用户能利用分销系统开展工作15、在维护过程中，分析整理系统新需要，与软件供应商及时沟通，不断优化完善信息系统,经常对现有使用者进行电话，远程回访以及巡店沟通；16、参与新系统测试指导数据库备份、维护和优化工作，确保公司数据安全；17、配合供应商进行建设和调试，全公司进行网络安装防火墙的建立，随着公司业务发展，不断扩展和优化,使网络运行安全通畅18、协助行政部进行网络和硬件设备的采购，协作各部门的培训及会场硬件调试及网络设备安装19、管理日常网络软硬件资料，整理网络运行记录、故障及解决方案，慢慢建立并健全机房和网络管理和维护知识库20、每季订货会商品档案在分销系统中建立与核对21、每季订货会前后订货会软硬件供应商对接确定订货会现场的设备使用，商品档案在订货会系统中建立与核对。任职资格：1、一年以上网络系统与IT系统维护工作经验2、熟悉和掌握各种计算机软硬件，可独立进行安装、调试及故障排除3、精通局域网的维护及网络安全知识，可熟练进行局域网的搭建和网络设备的基本维护和故障处理4、熟练运用各种软件5、工作主动性强，耐心细致，有责任心，具备团队合作精神",民营公司,150,500,服装/纺织/皮革
大客户经理/企业客户（IT管理培训+五险一金）,深圳光环鼎盛科技发展有限公司,3-4年经验,大专,广州-越秀区,5000,20000,★ 光环国际——上市公司，专注项目管理，聚焦IT管理，行业领跑16年。★ 美国PMI（项目管理）协会、外国专家局、中关村软件园、华为的战略合作伙伴。★ 为优秀的个人和百强企业提供专业的培训和咨询服务。★ 旗下网站—— www.aura.cn 、www.fmi.com.cn岗位职责：1.了解互联网行业发展动向及客户的普遍培训需求；2.了解公司的课程大纲内容并将其转化为销售语言，匹配客户的培训需求；3.建立良好的客户关系，维护客户对本公司培训能力和服务的总体满意度，并逐步加强和加深与客户各层级关键人的客户关系；4.与客户合作中不断搜集反馈意见并同步调整实施，做好服务跟踪；任职要求：1.具备至少2年IT培训业大客户销售经验，且有卓越销售业绩，了解IT企业培训需求；2.独立投标、撰写标书、撰写培训解决方案能力；3.具有良好的演示、演讲的能力、靠谱的职业道德。,上市公司,150,500,"教育/培训/院校,专业服务(咨询、人力资源、财会)"
IT管理员,深圳前海源丰金融服务有限公司,2年经验,大专,深圳-福田区,4500,6000,1.  设备维护：服务器、电话布控的维护工作，保证以上设备的正常运行；2.  网站维护：保证网站信息资料的及时更新，如企业信息、转正员工信息、照片资料、重大活动展示；3.  硬件设备维护：处理公司各类电子设备（打印机、复印机、电脑、考勤机等）的各类临时性问题，保证正常办公；4.  软件维护：负责完成各类设备软件问题的处理；5.  其他事项：公司各区域电话、宽带的日常维护、费用存续等工作；6.  CRM系统的管理，对各部门员工在CRM使用过程中的疑问进行解答和协助处理；7.  培训工作：CRM系统培训（系统测试培训、月度新员工入职循环培训）；8.  资产采购：日常电子设备的采购及渠道选择，保证电子设备的采购及价格的合理性。任职要求：1、.计算机相关大专及以上学历，22-30岁，具有2年以上同职位工作经验2、熟悉电脑、打印机、投影机、扫描仪等IT相关设备；3、熟悉Windows系统及数据库数据维护、Office等常用客户端软件；4、具有独立工作的能力并具备较强的分析、判断和解决问题的能力；5、有机房管理工作经验，熟悉网络维护；6、具有高度的责任心和良好的自律能力；工作时间：周一至周五 09:00-18:00，享受国家法定假日。,民营公司,50,50,金融/投资/证券
IT管理员,上海威仕保安服务有限公司,5-7年经验,大专,上海-普陀区,6000,8000,1、负责公司电脑、办公设备等资产的管理；2、负责公司网络、通讯设备管理；3、上级交办的其他事务。任职要求：1、 大专及以上学历；2、五年以上相关工作经验；,民营公司,1000,5000,多元化业务集团公司
IT管理员,深圳市新启源实业发展有限公司,无工作经验,大专,深圳,7000,10000,岗位职责：1.电脑软件的日常维护及管理；2.网路和服务器 升级，备份、和软件安装；3.交换机、防火墙，文件、邮件服务器和域服务器的管理；4.电脑周边设备（打印机、扫描仪、传真机、复印机、投影仪等）安装与维护；5.熟悉弱电系统：门禁、考情等系统维护，电话主机配置和维护；6.协助行政部对电脑周边设备的采购，应用软件的采购；7.网站日常维护、公司OA邮箱管理；8.领导安排的其他工作任职要求：1.计算机或IT相关专业，大专及以上学历2.熟悉Windows系统及相关配置，熟悉组策略和注册表的使用；3.了解交换机、路由器等网络及相关设备安装、调试、维护；4.电话交换机、传真、内部线路的维护，保证畅通；5.能够处理常见的系统及硬件故障，对打印机、传真机、扫描仪等日常办公设备的维护及管理6.熟悉电脑硬件组装、软件及系统安装，对系统、软硬件安全的维护有一定了解；7、对网络维护和管理有基础了解，熟悉VNC使用及TCP/IP协议以及相关设置，有网络布线工程实践经验者优先；,民营公司,150,500,"建筑/建材/工程,房地产"
IT管理员/网络维护专员,上海淼宏信息科技有限公司,无工作经验,大专,上海-杨浦区,6000,8000,"职位描述：岗位职责1、维护服务器、路由器、更换网线、交换机等网络设备；2、保障电脑文件共享和打印服务器的稳定运行；3、建立网络使用和管理制度并贯彻执行；4、电脑维护、网络通信传输畅通，企业网络布局、内外网联接情况，监控内部网络运转情况，制定各IT设施管理办法并监督执行 ；5、网络系统维护，网络用户权限设置与功能分配等，根据管理需要进行用户管理 与分配；6、负责系统软硬件的调研、安装、升级、维护等工作，系统的备份和恢复；7、熟悉网络布线、电话交换机、公司电话布线等；8、负责公司OA系统的管理。9、熟悉客如云，二维火等外卖平台后台系统操作和维护。任职要求1、大专以上文凭，2年以上工作经历；2、能任劳任怨，品行端正；3、熟悉电脑软件及硬件并能及时处理故障；4、能处理Internet无法正常访问的故障, Internet 服务器维护,处理监控外来访问和对外访问情况；5、能有网络及服务器故障的处理能力；",民营公司,50,150,金融/投资/证券
IT管理员,广州市仲延物业管理有限公司,2年经验,大专,广州-天河区,4500,6000,要求：二年以上工作经验，熟悉网络系统管理、扩建、维护，IP地址的维护管理，服务器、计算机、打印机、监控系统的管理和维护等工作。,民营公司,50,150,物业管理/商业中心
IT管理经理,南京行狐电子商务有限公司-妖精的口袋,3-4年经验,本科,南京-建邺区,150000,200000,工作职责1、负责IT政策及IT服务流程的执行跟踪与改善优化推进。2、按照ITIL理念，推进IT运维服务化及专业化按照既定方向稳步推进。3、按照IT生产运营流程规范，跟踪生产事件、问题处理，协调相关部门资源处理并通报处理进展。4、发现生产运营工作中存在问题，提出改善方案，通过流程优化、自动化工具提升运营工作效率。5、负责对IT运营及综合治理各项工作的定期内审和成果数据的输出，确保IT工作在高效运行。6、承担IT项目管理办公室项目集管理功能。7、承担IT知识库及项目、运维过程资产管理工作。8、领导按需安排的其他工作。任职要求1、本科以上学历、计算机、信息管理、项目管理等岗位相关专业。2、大型企业集团IT管理经验，熟悉组织运行机制，了解IT各岗位职责和工作方式。3、全程主导或参与ITIL项目建设的优先。4、具备项目管理知识和经验，具备PMP和软考证书，曾作为项目经理亲自带领过多部门协作项目。5、具备较强的visio、脑图、PPT、EXCEL应用经验，自我评价文档能力居优者。6、对流程改善和效率改善具备百折不挠的追求精神。7、工作主动积极、结果导向，能主导并擅长沟通者。,民营公司,500,1000,"互联网/电子商务,服装/纺织/皮革"
IT管理员,东莞广州美院文化创意研究院有限公司,无工作经验,大专,东莞-万江区,5000,8000,岗位职责：1、负责公司计算机软、硬件的日常维护及管理；2、负责监控设备的日常维护及管理；3、负责公司网络维护及管理；4、负责电脑周边设备（打印机、扫描仪、传真机、复印机、投影、视频会议系统等）安装与维护；5、负责日常工作文档、电脑、网络等设备的外联维护工作；6、领导交办的其他临时工作。任职要求：1、计算机或IT相关专业大专毕业，本科学历优先考虑；2、熟悉操作系统的安装、维护、备份和恢复操作，并有网络安全，病毒防护经验；3、具备良好职业道德与工作态度，善于沟通；4、较强的学习能力，责任心强，工作踏实，具有一定沟通能力和团队合作精神。5、工作积极主动，严谨仔细，具有较强的责任心，能承受一定工作压力。,国企,50,150,"学术/科研,教育/培训/院校"
IT管理员,杭州龙创汽车技术有限公司,无工作经验,大专,杭州-余杭区,3000,4000,1、负责公司信息安全的管理包括网络安全，攻击防御、路由控制，邮箱、办公系统权限控制；2、对公司内通讯设备及局域网进行维护，综合布线，异常处理；3、办公各类软件的技术支持工作；4、负责员工计算机基础知识和办公设备使用的培训；5、公司内需要IT部门支持的其他临时工作。任职要求：1、计算机、软件工程、信息系统等相关专业毕业，大专及以上学历；2、熟练掌握企业局域网维护经验；3、具备一年以上IT基础设施系统运行维护经验(优秀应届生也可）；4、强烈的责任心，面对压力具备分析和解决问题的能力，较强的沟通能力和协作精神；,民营公司,150,500,汽车及零配件
网管/IT管理员/IT运维工程师（周末双休+五险一金）,广州邑扬网络科技有限公司,2年经验,大专,广州-天河区,4500,6000,【岗位职责】：1、 负责内部办公计算机硬件、局域网络维护；2、 负责公司路由器、交换机等所有网络设备和网络线路的维护、调试，设置及管理，保证公司网络畅通；3、 进行办公设备的日常维护及管理，技术档案维护；4、 负责公司电话网络线路的布线、安装、调试的基础工作；5、 处理网络及计算机故障；6、公司所有IT资产管理和按需用进行合理分配，不定期进行盘点和抽查，及时更新资产盘点，防止固定资产丢失；7、完成上级领导交办的其他任务。任职资格：1、 大学专科以上，具有计算机、电子技术、网络管理等相关专业知识2、具有敬业精神，良好的服务意识，责任心强，工作积极主动。,民营公司,50,150,"广告,互联网/电子商务"
IT管理员,北京高鼎通信息科技有限公司,2年经验,大专,北京-海淀区,3000,8000,职能描述:负责公司内部网络规划、网络维护；负责公司内部计算机管理及维护；负责公司办公自动化设备的管理及维护；定期进行计算机的安全审计并编制计算机审计报告及风险评估报告等；对网络中存在的风险能及时识别并做好防御等。任职资格：专科及以上学历，计算机、电子、通信等相关专业；具有2年以上的相关工作经验；熟悉计算机、办公自动化设备硬件维护，熟悉网络设备的基本维护；对服务器、路由器、交换机和防火墙等能够熟练操作及维护，具备故障诊断的能力；熟悉系统安装和维护；具有良好的沟通能力和团队合作精神，工作主动性强、耐心细致、责任性强；具有军工企业工作经验者优先考虑。,民营公司,50,150,"通信/电信/网络设备,计算机服务(系统、数据服务、维修)"
IT管理员,徐州徐工液压件有限公司,无工作经验,本科,徐州,4500,6000,负责公司SAP、智能智造系统二次开发业务职位要求：1.全日制本科及以上学历，计算机或相关专业，通过英语四级，愿意在徐州长期发展；2.了解C++、Java等计算机语言；3.了解ERP、MES等企业管理系统。,国企,500,1000,机械/设备/重工
IT管理员（周末双休）,广州嘉目数码科技有限公司,无工作经验,大专,广州-天河区,3500,5000,工作职责：1、维护电脑（排除电脑故障）及电话座机。2、安装电脑和在PC上安装苹果系统（安装常用软件和不同部门必备的工作软件）。3、监控权限内的公司内部各个服务器工作状态，确保正常使用状态和节能状态。4、监控企业主路由和网络状态，确保内部网络畅通（如网络正常使用状态、解决IP冲突、因工作需要对内网设备或主机采取封禁或开放的网络流量控制）。5、按照直属上级的要求，组建企业内部所需的服务器或相关网络服务。6、书写和整理IT相关文档，保存并备份到指定服务器上（如软件硬件服务器的安装文档、网络设备的密码保存与备份）。7、新人入职前，依据岗位的特性安排电脑，待新人入职时，交付到其座位，确保正常使用。8、人员离职前，核实电脑资产，并及时回收。9、当员工使用的IT资产变更（增减换）时，及时登记变更（含主机及各部件、显示器）。临时使用的IT资产，在指定期限内使用完后，及时回收。10、负责过保IT损坏件送修及维护工作。11、每半年完成一次资产盘点。资产盘点文档留存备份。12、协助规划网络架构，并执行网络规划的部署。任职资格：1、熟练计算机组装和部件安装、熟练排查系统、软件、硬件故障2、熟练计算机网络部署和网络故障排查3、熟练维护路由、交换机等网络设备4、熟练安装、配置、管理Windows文件服务器或其他文件服务器5、熟练维护打印机等办公设备5、有IT资产管理经验6、能够安装配置各种应用软件7、安装电话座机完善福利：1、周末双休，五天工作制；2、社会保险+住房公积金（五险一金）；3、员工假期：包括法定节假日、带薪年假、带薪病假、婚假、产假、丧假等；4、旅游补助，可随心选择旅游景点。5、其他福利：节日福利、温馨的员工生日会、激情洋溢的年度旅游、震撼人心的拓展活动、充满欢乐的观影活动、形式多样的体育竞技比赛等。联系方式：32056289-唐小姐  欢迎来电咨询！广州市天河区黄埔大道东796号富林木材广场F13整栋交通路线：乘坐地铁5号线【文冲方向】至【三溪站】，B出口，地铁站对面富林木材广场里即是。关于我们：在这里，你会有牛气冲冲的队友，明朗的上升空间，良好的工作氛围，五险一金、周末双休、节日福利、假日旅游等一应俱全应有尽有；但同时，我们要求你有上进的雄心；希望你能承受压力，不懈努力；把本职工作做到好，很好，非常好。我们不画饼，我们一起来造梦。,民营公司,50,150,"影视/媒体/艺术/文化传播,广告"
网络管理员（IT管理员、社保、双休）,广州欢创劳务派遣有限公司,1年经验,中专,广州-番禺区,3000,4500,岗位：网络管理员任职要求：1、中专以上学历；2、有一定网站优化和运营、办公软件管理经验优先；3、性格开朗，善于与人沟通。岗位职责：1、负责公司网站优化、维护；2、负责公司办公软件、CRM软件管理；3、负责办公室办公设备维护维修；4、完成上级安排的其他工作。福利待遇：1、薪资3K-4.5K（可面谈）；2、按照国家法定节假日休息，带薪年假；3、公司不定期举行team building、旅游；4、不定期下午茶。上班时间：五天八时工作制，周末双休有意向的请投简历至zhaopin64311@163.com（优先处理）,民营公司,150,500,专业服务(咨询、人力资源、财会)
日企IT管理资深专员(编号93018),上海艾杰飞人力资源有限公司,1年经验,大专,苏州,4000,5000,■基本信息■工作地点：苏州市工作时间：08:15 - 17:00工资范围：4000 - 5000语言要求：日语不问 英语不问■职能描述■■ 生产管理系统的维护及开发■ OA系统的维护■ MES系统的维护及开发■职位要求■■ 大专及以上学历■ 有1年以上相关工作经验■ 熟练使用C#开发工具，深刻理解面向对象设计，熟悉.Net三层结构■ 熟练Microst SQL Server语法■ 熟悉WinForm开发，能够独立完成多线程、后台应用开发■ 具有良好的编程习惯及清晰的设计思路■ 善于与他人沟通、合作，具有团队精神，良好的自学能力■企业信息■该公司主要从事于电器相关产品的生产与销售。★更多日企热门招聘请戳我 ： http://www.rgf-hragent.com.cn★転職をお考えのお知り合いがいらっしゃいましたら、ぜひご紹介ください。（ suzhou@rgf-hragent.com.cn）プレゼントを用意しております！________________________________________苏州分公司地址：苏州市工业园区苏州大道西1号世纪金融大厦 1615室联系方式：（0512)6262-3595-101周小姐邮箱地址：suzhou@rgf-hragent.com.cn★転職をお考えのお知り合いがいらっしゃいましたら、ぜひご紹介ください。★有朋友想找工作吗？有的话欢迎介绍过来，我们将竭诚为您和您的朋友服务！公司主页： http://www.rgf-hragent.com.cn日企专版招聘信息： http://www.rgf-hragent.com.cn/search_csuzhou.html,外资（非欧美）,50,150,专业服务(咨询、人力资源、财会)
IT管理员,苏州市韦博语言培训中心,无工作经验,中专,常熟,3000,3500,岗位职责及要求：1、负责中心计算机、局域网等设备的维护2、负责教学软件的安装和维护3、负责员工计算机软硬件操作培训4、负责公司打印机、传真机、电视音响等设备的维护与管理5、中专以上学历，计算机相关专业6、熟练的硬件安装、维护技能和丰富的软件使用技巧7、熟悉平面设计、word/excel/ppt等办公软件者优先考虑8、熟悉windows 2003 Server 域 管理常熟市书院街122号3楼北区（市图书馆正对面）,合资,1000,5000,教育/培训/院校
IT管理员,深圳美人邦医疗美容门诊部有限公司,无工作经验,大专,深圳-南山区,6000,8000,1、全面负责公司计算机系统、网络系统技术；2、公司数据、资料的备份和安全保密，防止信息泄露；3、负责公司监控系统、报警系统维护；4、负责公司相关图片及办公软件的技术支持。,民营公司,150,500,"医疗/护理/卫生,计算机软件"
IT管理员,深圳市中兴新通讯设备有限公司,无工作经验,大专,深圳,5000,8000,岗位要求：1、大专及以上学历，计算机相关专业；2、2年以上相关工作经验；3、熟悉计算机系统结构、软硬件管理、服务器操作系统管理和网络管理；4、强烈的责任心、较强的沟通能力和协作精神。注：本岗位工作地点为宝安松岗，公司简介深圳市新宇腾跃电子有限公司是深圳市中兴新通讯设备有限公司投资，于2003年7月正式成立，公司占地面积20000平米，现有员工1800人。新宇腾跃是 “***高新技术企业”，荣获“深圳市高新技术企业”、“深圳市宝安区企业技术中心”、“深圳市成长型中小工业企业500强”、“宝安区民营成长计划工程企业”、“深圳市宝安区自主创新型优势科技企业”等荣誉称号。公司主要研发、生产、销售双面柔性线路板、高密度多层柔性线路板及刚挠结合线路板，产品主要应用于移动通讯、数码相机、手提电脑、DVD、医疗器材、汽车LCD显示屏、IC封装及国防领域。,国企,10000,10000,"多元化业务集团公司,通信/电信/网络设备"
IT管理员/桌面运维（上市集团+珠江新城办公）,圆方软件公司,1年经验,本科,广州,6000,9000,岗位隶属：行政部岗位职责：1、负责公司办公设备（电脑、打印机等）的维护、管理、故障排查等日常工作，确保公司网络日常的正常运作；2、电话交换机管理，电话权限分配；3、领导安排的其他IT类工作。岗位职责：1、计算机网络等相关专业，1年以上相关工作经验；2、熟悉办公设备的日常工作维护及管理；3、有良好的沟通能力，能独立解决问题，具有应急处理问题能力。薪酬福利：1、五险一金，带薪年假；2、办公环境舒适，交通便利（位于珠江新城高德置地广场A座甲级写字楼）；3、公司倡导“家文化”，人性化管理风格、注重员工感受，员工活动丰富：公司年会、周年庆、 员工生日会、培训营、部门聚会、体育比赛、每周羽毛球体育活动、不定时下午茶、生日PARTY、健康讲座、企业专场夜跑运动等等；4、集团及公司发展迅猛，职业机会众多，个人发展平台广阔；5、优秀员工每年享有海外出游奖励。我们是一家朝气蓬勃、富有激情的集团公司，诚邀有能力、为梦想拼搏的您加入！,民营公司,150,500,"计算机软件,家具/家电/玩具/礼品"
IT管理员,深圳普林斯顿教育科技有限公司,5-7年经验,大专,深圳-福田区,8000,10000,岗位职责：1、负责幼儿园网络及设备的安全运行，出现问题能够及时解决，并完成数据的备份2、负责幼儿园服务器的维护、升级、管理3、负责幼儿园网站建设，及时更新网站相关内容4、熟悉网络布线，能够定期整理幼儿园网络，确保配线的合理有序5、协助完成信息中心其他工作，包括电教设备的维护，监控设备的使用，幼儿园活动的音响、摄影支持等任职要求：1、具备弱电工程知识，熟悉教学多媒体应用系统，掌握IT系统基本知识；熟悉普通PC及虚拟化维护2、熟悉音频、视频、控制等多媒体集成的方法和兼容性审核，熟悉投影、中控等多媒体设备3、熟悉主流的教学系统、周边配套产品；4、能够独立完成多媒体的现场保障、设备巡检、设备硬件故障快速定位并解决相关故障；,民营公司,150,500,教育/培训/院校
