职位名称,公司名称,经验要求,学历,工作地点,最低薪水,最高薪水,职位描述,公司类型,最低员工人数,最高员工人数,主营业务
IT专员,上海胜骋贸易有限公司,1年经验,大专,上海-长宁区,4000,6500,岗位职责：1、负责公司信息系统正常的运营和维护管理，满足公司对业务运营支持平台；2、负责门店信息系统的安装调试，保证门店系统正常运行；3、负责信息系统的终端用户培训，收集相关系统需求，配合相关部门落实；4、负责公司及门店电脑硬件问题及网络问题维护，确保公司电脑及网络正常运行；5、负责信息系统数据准确性，提升系统数据质量；任职要求：1、统招大专及以上学历，计算机相关专业毕业；2、具备软件信息系统实施维护相关工作经验；3、熟练电脑硬件网络问题的维护；4、有零售行业信息系统管理经验者佳。,民营公司,150,500,服装/纺织/皮革
企业IT主管（熟悉网络服务器）年薪30万(职位编号：LC180427),上海恒封密封制品有限公司,3-4年经验,本科,上海,25000,30000,招聘企业：日企商贸子公司，从事分析仪器的销售及售后招聘职位：信息管理主管工作内容：1、负责建立或修订公司信息管理制度流程并实施；2、负责公司全盘IT信息管理系统的管理维护及新系统的导入以及实施落地；3、负责IT软件硬件的购买与导入；4、建立公司网络安全体系，规避风险；5、熟悉业务流程和IT环境，分析业务需求能够为业务部门提供改善方案（含硬件和软件）；6、根据公司实际需求，提出IT系统优化建议；7、管理公司对外的网站和APP。应聘资格；年龄     26~32岁性别     不限学历     全日制本科以上（计算机、信息系统管理相关专业）外语     不要求经验     有3年以上企业IT信息系统实施，维护经验熟悉企业网络及服务器的搭建，并掌握一些行业内的供应商渠道工作地： 上海市徐汇区有2路班车  ①9号线漕河泾地铁站  ②12号线虹漕路地铁站薪资：     年薪30~35万?福利：五险一金餐饮补贴通讯补贴定期体检员工旅游年终奖金专业培训补充医疗保险：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：更多日企及日语人才招聘信息ALA求人 -  日中求人専門http://alaworld.net/?Jobs/vcatg/area/2/china/china+上海会坚商务咨询有限公司地址： 上海市浦东新区张扬路400号电话： +86 21 - 6112 6380手机： +86 173 2107 8272邮箱： hj15staff@gmail.com：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：：LC180427    IT 信息 技术 网络 服务器 电脑 硬件 软件 日企 日资,民营公司,50,150,专业服务(咨询、人力资源、财会)
信息系统管理员,深圳市卓宝科技股份有限公司,2年经验,大专,佛山,5000,6000,负责公司信息平台的开发、建设与维护，建立信息管理平台，制定信息系统管理规定，监管公司办公信息监控的安全，协助上级实现企业信息管理化。岗位职责：1.  负责企业信息化系统的日常运维管理工作，包括组织二次开发、运维监控、系统更新升级、问题跟踪处理、数据库管理、中间件管理、系统及数据备份等。2. 协助上级建立和完善信息系统运行和信息安全管理的各项规章制度，实现管理的规范化和制度化；3. 负责制定和执行信息化项目实施计划，负责公司已建成业务等系统的开发与维护；4. 负责公司的信息系统安全管理工作，并持续加强公司信息安全管理；5. 负责企业监控软件系统的日常运维管理工作，包括监控、更新升级、问题跟踪处理、 数据库管理、系统及数据备份等。6. 负责公司涉密信息设备安全保密策略设置、维护和备份等管理工作；7. 负责公司OA办公系统、桌面安全审计系统、ERP系统、数据备份系统等应 用服务器的安装、配置、维护、调整及更新，保证各应用服务器的正常运行；8. 负责企业硬件终端（电脑、打印机、移动存储设备、视频硬件等）的日常运维管理工作，及时更新，协助其他部门信息上传；9. 完成上级交办的其它工作。任职要求：1、	大专以上学历，计算机相关专业的优先考虑，3年以上相关工作经验优先考虑；2、	专业知识扎实，应变能力、网络设计能力、沟通能力、逻辑思维能力、判断分析能力良好；3、	有充分的网络原理及网络通讯的基本知识和动手能力。4、	良好的敬业精神和职业道德，工作高效、执行力高，善于沟通与交往并且具备团队协作精神。,民营公司,1000,5000,"建筑/建材/工程,石油/化工/矿产/地质"
信息专员,恒大地产集团辽宁公司,3-4年经验,本科,沈阳-沈河区,6000,8000,26～35岁，计算机及信息管理类相关专业本科及以上学历，第一学历本科毕业3年以上，能处理基本的软硬件故障，熟练掌握网络维护的各项技能，有大型地产企业信息系统管理工作经验者优先。,民营公司,1000,5000,房地产
MES实施顾问,南京嘉益仕信息技术有限公司,2年经验,本科,南京,6000,8000,"1、按照项目经理要求参与项目实施(需求分析、文档撰写、业务需求整理、功能匹配度测试)的工作。2、按照实施计划配合客户进行系统初始化、安装、培训，保障客户系统正常运行；3、帮助客户规范日常操作流程；做好实施记录；配合项目经理做好验收工作。4、贯彻执行公司制定的售后服务保障体系，保障客户系统日常运行。任职要求：1、本科以上学历，计算机及信息系统管理相关专业；2、一年以上工作经验，优秀应届毕业生亦可，有MES/WMS/ERP/RFID相关生产管理系统经验者优先；3、具备IT基础知识，熟悉常用的Sql Server、Oracle数据库等；4、有强烈的责任感，善于发现问题，细心耐心,态度踏实严谨，有高度责任心及敬业精神；5、有较强的学习、沟通能力、组织协调能力、服从工作安排；6、能够适应出差；",民营公司,50,150,计算机软件
信息系统管理工程师,北京华卓精科科技股份有限公司,2年经验,大专,北京,5000,9800,岗位职责：（1）负责公司信息管理系统的建设与维护；（2）对信息管理系统的功能与性能、日常应用、相关资源、运营成本、安全等进行监控、管理与评估；（3）为公司各部门提供信息管理系统方面的技术支持；（4）解决信息管理系统运行过程中出现的问题，提出改进建议；（5）参与信息管理系统及信息管理系统与其他软件系统（如：ERP等）信息交互的开发设计及评估；（6）参与系统运行测试和新旧系统的转换进行规划和实施；（7）保障信息管理系统的高效运行。任职资格：（1）熟悉计算机系统以及各主要设备的性能，并理解其基本工作原理；（2）掌握操作系统基础知识以及常用操作系统的安装、配置与维护；（3）理解数据库基本原理，熟悉常用数据库管理系统的安装、配置与维护；（4）理解计算机网络的基本原理，并熟悉相关设备的安装、配置与维护；（5）熟悉信息化和信息系统基础知识；（6）了解信息系统开发的基本过程与方法；（7）掌握信息系统的管理与维护知识、工具与方法；（8）掌握常用信息技术标准、信息安全以及有关法律、法规的基础知识。（9）有C、C#、C++、Java等编程经验、有Sharepoint应用经验及具有一定英文水平的优先。,上市公司,150,500,"机械/设备/重工,仪器仪表/工业自动化"
财务共享—财务信息系统管理,浙江迪安诊断技术股份有限公司,3-4年经验,本科,杭州-西湖区,80000,150000,1、参与公司财务共享业务调研、详细方案设计工作，从IT角度评估共享详细设计方案的系统可执行性，以及业务需求与现有系统功能的匹配度；2、作为功能顾问，负责公司报账系统实施工作，负责报账系统需求收集、分析及评估工作，并与用户沟通确定需求范围；3、负责结合现有报账系统，开展利润中心功能设计工作，设计可执行的系统实现方案设计；4、负责编写方案设计、功能设计文档、测试脚本等文档编写工作；5、负责与项目组内技术人员充分沟通，紧密合作达成用户需求；6、负责收集用户意见，从中挖掘、梳理业务需求，不断优化产品业务流程及功能，提升用户体验。任职资格：1、	本科及以上学历，三年以上财务相关系统实施背景；2、	熟悉 NC、用友软件 、Oracle 系统、网报系统，具有财务共享或报账系统实施经验者优先3、	具有强烈的责任心和进取心，具备良好的团队合作精神，积极主动4、	具备独立撰写产品需求分析、方案设计的能力；5、	良好的沟通协作技巧，能充分理解、引导、控制用户需求，并能准确表达并形成需求文档；6、	求知欲强，有创新精神，能承受较大的工作压力；,上市公司,5000,10000,"医疗/护理/卫生,医疗设备/器械"
网络管理,四川永星电子有限公司,无工作经验,本科,成都,4500,6000,"岗位描述：1、公司K3, 条码，OA, HRM等各类信息系统管理、系统搭建、系统代码更改、系统数据分析、系统数据沟通、系统风险防控；2、安装、配置和管理交换机和路由器等网络设备，规划、配置和管理虚拟局域网；3、规划公司网络架构，建立网络安全防护措施，提升公司网络的安全性、可用性和可靠性；4、熟练掌握数据库知识",民营公司,500,1000,电子技术/半导体/集成电路
IT工程师,矽品电子（福建）有限公司,无工作经验,本科,泉州,4500,6500,（1）拟订与控管系统开发计划与架构设计 。（2）执行与指导应用系统开发与验测 。（3）处置、分析与诊断系统异常并拟议改善措施 。（4）拟议应用系统维护管理之工作指导程序供做遵循 。（5）上级交办其他事项。岗位要求：（1）本科以上学历，计算机、软件、电子信息或信息系统管理等相关专业 ；（2）制造业IT相关工作经验2年以上或非制造业IT相关工作3年以上 ；（3）较好的英语读写能力 ；（4）领导、沟通、规划与控管能力。,外资（非欧美）,50,50,电子技术/半导体/集成电路
信息系统审计员,立信会计事务所,3-4年经验,本科,上海-黄浦区,100000,150000,工作职责：- 按照审计计划协助和独立实施信息系统风险评估和一般控制审计工作程序；- 按照审计计划协助和独立实施信息系统风险评估和应用控制审计工作程序；- 协助评估客户的信息系统控制并为审计团队提供系统可靠性、数据真实性及内部控制有效性方面的结论以及建议；- 根据要求编写符合质量要求的项目工作底稿；- 协助为客户提供可实施的信息系统管理和风险管理咨询服务，内容包括信息管理和技术的相关区域；- 协助明确、评估、报告和解决项目管理；- 为其他专业服务领域提供适当的支持；- 完成上级安排的其他工作。任职资格：- 计算机、信息系统、会计或相关专业大学及以上学历；- 良好的分析能力，致力于向客户提供卓越服务；- 成熟，积极主动，勤勉敬业；- 良好的磋商和沟通技巧，自我激励，具备良好的团队合作精神，能够有效应对压力工作环境；- 良好的口语和书面表达能力，包括专业技术和业务写作技巧，文档归整和演讲技能；- 能够适应经常出差的工作环境；- 持有中国注册会计师(CPA)，注册内部审计师(CIA)、注册信息系统审计师(CISA)、注册信息系统安全专家(CISSP)、注册信息安全经理(CISM)资质者为佳，但非必需；- 具备相关信息管理理论和技术平台系统知识者为佳，但非必需；- 具备下列领域的知识和经验为佳，但非必需：信息系统审计、信息技术安全、在SAP中特定的ERP产品知识，Oracle Financials、ERP系统操作、系统开发流程、信息技术运营、萨奥法案、COSO、COBIT、ISO 27000。,民营公司,1000,5000,"会计/审计,专业服务(咨询、人力资源、财会)"
党务干事,厦门万舜文化产业投资发展有限公司,5-7年经验,本科,厦门,3000,4500,任职条件：1、***，中共党员，大学本科及以上学历，语言学、新闻传播学专业优先；5年以上工作经验，从事党务工作3年以上经验优先；2、熟知党规、法纪及相关法律法规，具备一定的政治理论水平；3、熟练WORD、EXCEL、PPT等自动办公化软件；4、具备较强的文字功底和较好的公文写作能力，能够撰写较高水平的工作报告协助部门领导做好党群管理工作，主要职责如下:1. 协助部门领导做好公司的党建工作，起草党组织年度工作计划、总结及相关党建材料；2. 协助部门领导组织落实党组织换届选举、三会一课等党内会议、活动；3. 贯彻落实上级党组织有关文件、会议精神、材料；指导、检查下级党组织党建工作开展；4. 协助部门经理负责做好党员发展、党员组织关系管理、党务信息系统管理、党费收缴管理等日常党务工作；5.负责企业文化建设、精神文明建设创建活动；6. 负责公司党务新闻宣传工作，组织对外宣传报道，包括宣传稿件的撰写、审核和上报工作；7、完成上级领导交办的任务,国企,150,500,影视/媒体/艺术/文化传播
技术总监,武汉诗诺科技股份有限公司,5-7年经验,本科,武汉-洪山区,15000,30000,工作职责1. 根据公司的整体发展战略和业务需求，全面负责公司信息系统管理与研发工作，规划公司产品和技术发展路线；2. 解决信息系统项目中的关键问题和技术难题，完成由业务框架到技术框架的总体把控，全面把握总体设计和重要技术决策；3. 不断推动IT产品创新与技术优化，从技术层面提高用户体验；4. 负责信息系统项目开发流程、项目质量和项目开发进度的规划、控制、监督和管理；5. 制定并不断完善公司移动领域的技术框架，建立并完善各项研发规范及流程；6. 负责信息系统各类安全问题的解决和防范；7. 负责技术团队的建设和培养，提升团队的工作质量、效率和技术能力。任职资格1. 学历专业：全日制大学本科及以上学历，电子、计算机等专业，985、211优先;欢迎BAT大厂回汉小伙伴。2. 工作经验：5年以上互联网企业技术开发及管理经验；3. 专业能力： 精通互联网IT技术框架设计布局、对性能优化、产品开发、系统稳定性及安全性有较深的前瞻性及实战经验；有大型系统开发经验、千万级负载、分布式系统经验;有大数据系统经验、AI人工智能算法研究优先。4. 职业素养：主观能动性高，自我驱动意识强，团队合作意识强，具备很强的抗压能力；,民营公司,50,150,"互联网/电子商务,石油/化工/矿产/地质"
系统开发经理,美巢集团股份公司,5-7年经验,本科,北京,25000,30000,岗位职责：1、参与公司信息化建设项目的需求分析、系统设计和编码等工作；2、公司ERP系统的开发与集成管理；3、公司其他信息系统（电子商务系统、OA系统、供应商管理系统及经销商管理系统等）的开发与集成管理；4、负责改善信息系统的易用性，提升系统使用体验；5、信息系统开发规范的制定、文档的编写，代码的审核等；6、完成领导交办的其他工作。任职要求：1、统招本科及以上学历，计算机、自动化、软件工程、电子信息等相关专业，28-40岁，北京户口或北京自有住房；2、2年以上信息系统管理及软件开发工作经验；3、熟悉一种开发语言，Java开发优先；4、熟悉SOA架构的系统设计和相关框架；5、熟悉关系型数据库原理，熟悉Oracle、SQLSERVER等主流数据库开发。熟练使用视图、索引、存储过程、触发器等技术；6、熟悉微信、APP等手机移动端软件的开发；7、熟悉软件技术文档的编写，具备优秀的文档编制习惯和代码书写规范；8、对信息系统集成有深入理解，组织实施或参与过OA、MES、WMS、ERP等系统集成项目；9、熟悉制造业业务流程者优先；10、有SAP系统ABAP开发经验者优先；11、富有激情和良好的责任心，关注新技术，有较强的团队合作意识。岗位福利：1、五险一金；2、补充医疗保险（转正后享受）；3、交通福利（免费班车+交通补贴）、 用餐福利（成本食堂+餐费补贴）、通讯补贴共计3000元/月；4、硕士学历补贴：1000元/月（须全日制统招硕士）；5、博士学历补贴：10000元/月（须全日制统招博士）；6、免费年度健康体检；7、另有生日津贴、司龄补贴、高级职称补贴、年终奖等福利。8、本职位月薪：税前25000元左右。9、试用期6个月，试用期前三个自然月的工资标准按本岗位基本工资的80%及绩效奖金的80%计算发放；自入职第四个自然月起各项工资标准按本岗位工资标准的100%计算发放。公司班车路线：西线：公主坟-六里桥-丽泽桥-夏家胡同-玉泉营-草桥-洋桥-木樨园-刘家窑-公司东线：通州北苑-郎家园-双井-潘家园-十里河-方庄-公司大兴线：五棵松-北大地-正阳桥北-花乡桥西-黄土岗-九龙山庄-高米店-康庄路口东-清源路站-公司北京地铁八号线三期瀛海站预计将于2018年底开通，此地铁站距离我司办公位置约1000米左右；北京市郊铁路S6正在规划建设中，其中包含瀛海站。招聘邮箱：gexin@meichao.com工作地址：北京市大兴区瀛海镇瀛元街6号美巢集团,民营公司,150,500,建筑/建材/工程
人事行政经理,珠海幸福之家房地产投资策划有限公司,5-7年经验,本科,珠海-香洲区,8000,10000,岗位职责：1.根据公司发展战略、目标，评估与平衡各部门组织架构、部门职能，对各岗位职责不断进行分析、改善，保障公司人员最优化任用和管理；2.根据公司各部门的招聘需求，制定招聘计划，实施招聘工作；负责流失率分析及人工成本分析，并形成分析报告；3.建立和健全公司行政管理制度，并负责监督和落实；规范各部门人事行政运营流程；负责统筹入离职管理、劳动合同管理、集体户口管理、人事档案管理等人事基础工作；4.组织和推动公司内部培训工作的开展，建立和完善员工培训体系；5.完善公司薪酬福利体系，定期收集市场薪酬信息和数据，形成薪资调研报告；负责统筹工资核算、社会保险及住房公积金申购等薪酬福利基础工作；6.对行政费用进行分析、控制、管理、降低后勤管理成本；7.建立员工沟通渠道，定期收集信息，拟定并不断评估公司激励机制、福利保障制度等；8.负责公司企业文化，价值观的落地实施，提高员满意度；9.其他领导交办任务及临时性的工作。任职要求：1.本科及以上学历，人力资源管理、财务管理、统计学等相关专业；2.五年以上人力资源从业经验，两年以上团队管理经验，具有地产行业背景优先考虑；3.熟悉人力资源六大模块，擅长招聘及员工关系，熟悉企业行政管理知识；4.对现代企业人力资源管理模式有系统的了解和实践经验累积，尤其精通薪酬管理、人事信息系统管理，有大型企业人力资源信息管理系统建设者优先考虑；5.有较强的事业心和敬业精神，有亲和力，具有较强的组织能力和很强的激励、沟通、协调、团队领导能力；6.优秀的外联与公关能力、应变协调能力及解决问题的能力；7.思维敏锐，善于沟通，具有严谨的工作态度，能坚持原则；8.具有中级人力资源管理师以上职称优先考虑。,民营公司,50,150,房地产
行政文员兼党务,天津海程橡塑制品有限公司,无工作经验,大专,天津-西青区,3000,4000,1、行政日常统计工作，对行政类文件档案管理2、行政采购（劳保用品、工服、办公用品等）3、会议组织安排及跟踪落实会议事项4、上级党组织有关文件、会议精神、材料的贯彻落实5、负责开展党支部组织建设6、负责组织党务相关会议、培训、学习活动7、负责党务信息系统管理8、工会等群团工作9、完成上级安排的其它工作。任职要求：1、中共党员2、责任心和原则性强，具有良好的团队协作精神3、具有良好的沟通协调能力班车路线：1、河东线班车二号桥（轻轨站）6：55——河西快速路（曙光里市场）7:05——中石油桥（环湖中路站）7:10——红旗南路（理工学院站）7:20——爱尔眼科医院7:30——张家窝（辛老路与高泰路交口）7:502、河北线班车金狮桥6:50———第一医院（南口路交口）7:00——洪湖里（地铁站A口对过）7:10——仁爱花园7:25——青云桥（跃升里对面）7:30——西青医院（医院对面）7:40——柳口路（西青区政府口）7:45——英伦 7:553、中北线班车人民医院（6号线）--芥园西道（2号线）--919饭店工作地址天津西青区辛口镇辛口工业园泰兴路5号,民营公司,150,500,"汽车及零配件,原材料和加工"
系统架构师,富盛资融（中国）商业保理有限公司,8-9年经验,本科,上海-长宁区,20000,35000,岗位职责1、负责公司整体信息安全，编制和完善公司数据标准及信息保密制度，制定信息系统安全及灾难恢复的政策和程序，负责组织处理突发信息安全事件；2、组织研究行业***发展方向，并制定战略规划；管理核心技术，组织制定和实施重大技术决策和技术方案；3、负责公司信息系统软硬件的规划、架构设计、评估选型、实施、验收和维护；4、公司信息系统监控与容灾解决方案规划、建制设、与实施；5、完成公司交代的其他工作。任职资格1、本科及以上学历，计算机科学技术、信息技术等相关专业；2、8年或以上信息系统管理或架构设计相关工作经验；3、具备维护敏感信息安全性的经验；4、对网络、服务器、存储等硬件有实际的安装、配置及维护经验；5、对Linux/Windows系统相关的数据库、灾备、负载均衡、中间件、监控等软件有实际的安装、配置及维护经验；6、对虚拟化、容器型服务、云服务有实际的安装、配置及维护经验；7、对信息安全等保三级有实际的自我测评或参与实施经验；8、具备丰富的系统与数据库灾难恢复演练经验；9、思维敏捷、执行力强，能担重任，有较强的内外沟通能力、及技术队伍管理经验，能高效完成交付任务，具备团队合作精神。,合资,50,50,"金融/投资/证券,银行"
